State,Capital_city,Second_city,Third_city
Alabama,Montgomery,Birmingham,Huntsville
Alaska,Juneau,Anchorage,Fairbanks
Arizona,Phoenix,Tuscon,Mesa
Arkansas,Little_Rock,Fayetteville,Fort_Smith
California,Sacramento,Los_Angeles,San_Diego
Colorado,Denver,Colorado_Springs,Aurora
Connecticut,Hartford,Stamford,New_Haven
Delaware,Dover,Wilmington,Newark
Florida,Tallahassee,Miami,Orlando
Georgia,Atlanta,Augusta,Savannah
Hawaii,Honolulu,Pearl_City,Hilo
Idaho,Boise,Meridian,Nampa
Illinois,Springfield,Aurora,Joliet
Indiana,Indianapolis,Fort_Wayne,Evansville
Iowa,Des_Moines,Iowa_City,Davenport
Kansas,Topeka,Wichita,Kansas_City
Kentucky,Frankfort,Lexington,Louisville
Louisiana,Baton_Rouge,New_Orleans,Shreveport
Maine,Augusta,Portland,Lewiston
Maryland,Annapolis,Baltimore,Columbia
Massachusetts,Boston,Worcester,Springfield
Michigan,Lansing,Detroit,Grand_Rapids
Minnesota,Saint_Paul,Minneapolis,Rochester
Mississippi,Jackson,Gulfport,Southaven
Missouri,Jefferson_City,Kansas_City,St._Louis
Montana,Helena,Billings,Missoula
Nebraska,Lincoln,Omaha,Bellevue
Nevada,Carson_City,Las_Vegas,Reno
New_Hampshire,Concord,Manchester,Nashua
New_Jersey,Trenton,Newark,Jersey_City
New_Mexico,Santa_Fe,Albuquerque,Rio_Rancho
New_York,Albany,New_York_City,Rochester
North_Carolina,Raleigh,Charlotte,Greensboro
North_Dakota,Bismarck,Fargo,Grand_Forks
Ohio,Columbus,Cleveland,Cincinnati
Oklahoma,Oklahoma_City,Tulsa,Norman
Oregon,Salem,Portland,Eugene
Pennsylvania,Harrisburg,Philadelphia,Pittsburgh
Rhode_Island,Providence,Cranston,Warwick
South_Carolina,Columbia,Charleston,Myrtle_Beach
South_Dakota,Pierre,Sioux_Falls,Rapid_City
Tennessee,Nashville,Memphis,Knoxville
Texas,Austin,Houston,Dallas
Utah,Salt_Lake_City,West_Valley_City,West_Jordan
Vermont,Montpelier,Burlington,Rutland
Virginia,Richmond,Virgina_Beach,Chesapeake
Washington,Olympia,Seattle,Spokane
West_Virginia,Charleston,Huntington,Morgantown
Wisconsin,Madison,Milwaukee,Green_Bay
Wyoming,Cheyenne,Casper,Laramie